RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.Network/dnszones/SRV,,TRUE
Microsoft.Network/dnszones/TXT,,TRUE
Microsoft.Network/expressRouteCircuits,PROTECTED,TRUE
Microsoft.Network/expressRoutePorts,PROTECTED,TRUE
Microsoft.Network/loadBalancers,UDLM,TRUE
Microsoft.Network/localNetworkGateways,PROTECTED,TRUE
Microsoft.Network/locations/availableDelegations,PROTECTED,TRUE
Microsoft.Network/locations/checkAcceleratedNetworkingSupport,PROTECTED,TRUE
Microsoft.Network/locations/CheckDnsNameAvailability,PROTECTED,TRUE
Microsoft.Network/locations/effectiveResourceOwnership,PROTECTED,TRUE
Microsoft.Network/locations/setResourceOwnership,PROTECTED,TRUE
Microsoft.Network/locations/supportedVirtualMachineSizes,PROTECTED,TRUE
Microsoft.Network/locations/usages,PROTECTED,TRUE
Microsoft.Network/locations/validateResourceOwnership,PROTECTED,TRUE
Microsoft.Network/locations/virtualNetworkAvailableEndpointServices,PROTECTED,TRUE
Microsoft.Network/networkIntentPolicies,PROTECTED,TRUE
Microsoft.Network/networkInterfaces,PROTECTED,TRUE
Microsoft.Network/networkSecurityGroups,PROTECTED,TRUE
Microsoft.Network/networkWatchers,,TRUE
Microsoft.Network/networkWatchers/connectionMonitors,,TRUE
Microsoft.Network/networkWatchers/lenses,,TRUE
Microsoft.Network/publicIPAddresses,PROTECTED,TRUE
Microsoft.Network/publicIPPrefixes,PROTECTED,TRUE
Microsoft.Network/routeFilters,PROTECTED,TRUE
Microsoft.Network/routeTables,PROTECTED,TRUE
Microsoft.Network/trafficManagerGeographicHierarchies,UDLM,TRUE
Microsoft.Network/trafficmanagerprofiles,UDLM,TRUE
Microsoft.Network/trafficmanagerprofiles/heatMaps,UDLM,TRUE
Microsoft.Network/trafficManagerUserMetricsKeys,UDLM,TRUE
Microsoft.Network/virtualNetworkGateways,PROTECTED,TRUE
Microsoft.Network/virtualNetworks,PROTECTED,TRUE
Microsoft.NotificationHubs/checkNameAvailability,PROTECTED,TRUE
Microsoft.NotificationHubs/checkNamespaceAvailability,PROTECTED,TRUE
Microsoft.NotificationHubs/namespaces,PROTECTED,TRUE
Microsoft.NotificationHubs/namespaces/notificationHubs,PROTECTED,TRUE
Microsoft.NotificationHubs/operationResults,PROTECTED,TRUE
Microsoft.NotificationHubs/operations,PROTECTED,TRUE
Microsoft.OffAzure/operations,,
Microsoft.OperationalInsights/linkTargets,,
Microsoft.OperationalInsights/workspaces,,
Microsoft.OperationalInsights/workspaces/dataSources,,
Microsoft.OperationalInsights/workspaces/linkedServices,,
Microsoft.OperationalInsights/workspaces/query,,
Microsoft.OperationsManagement/managementconfigurations,,TRUE
Microsoft.OperationsManagement/solutions,,TRUE
Microsoft.OperationsManagement/views,,TRUE
Microsoft.Portal/dashboards,PROTECTED,TRUE
Microsoft.Portal/locations/consoles,PROTECTED,TRUE
Microsoft.Portal/locations/userSettings,PROTECTED,TRUE
Microsoft.Portal/operations,PROTECTED,TRUE
Microsoft.PowerBI/locations/checkNameAvailability,,TRUE
Microsoft.PowerBI/workspaceCollections,,TRUE
Microsoft.PowerBIDedicated/capacities,,TRUE
Microsoft.PowerBIDedicated/locations/checkNameAvailability,,TRUE
Microsoft.PowerBIDedicated/locations/operationresults,,TRUE
Microsoft.PowerBIDedicated/locations/operationstatuses,,TRUE
Microsoft.PowerBIDedicated/operations,,TRUE
Microsoft.RecoveryServices/locations/allocatedStamp,PROTECTED,TRUE
Microsoft.RecoveryServices/locations/allocateStamp,PROTECTED,TRUE
Microsoft.RecoveryServices/locations/backupPreValidateProtection,PROTECTED,TRUE
Microsoft.RecoveryServices/locations/backupStatus,PROTECTED,TRUE
Microsoft.RecoveryServices/locations/backupValidateFeatures,PROTECTED,TRUE
Microsoft.RecoveryServices/operations,PROTECTED,TRUE
Microsoft.RecoveryServices/vaults,PROTECTED,TRUE
Microsoft.Relay/namespaces,,
Microsoft.ResourceHealth/notifications,CORE,TRUE
Microsoft.Resources/resourceGroups,CORE,TRUE
Microsoft.Resources/subscriptions/resourceGroups,CORE,TRUE
Microsoft.SaaS/applications,,
Microsoft.SaaS/checknameavailability,,
Microsoft.Scheduler/flows,PROTECTED,TRUE
Microsoft.Scheduler/jobcollections,PROTECTED,TRUE
Microsoft.Scheduler/operationResults,PROTECTED,TRUE
Microsoft.Scheduler/operations,PROTECTED,TRUE
Microsoft.Search/resourceHealthMetadata,UDLM,TRUE
Microsoft.Search/searchServices,UDLM,TRUE
Microsoft.Security/alerts,PROTECTED,TRUE
Microsoft.Security/allowedConnections,PROTECTED,TRUE
Microsoft.Security/appliances,PROTECTED,TRUE
Microsoft.Security/applicationWhitelistings,PROTECTED,TRUE
Microsoft.Security/AutoProvisioningSettings,PROTECTED,TRUE
Microsoft.Security/complianceResults,PROTECTED,TRUE
Microsoft.Security/Compliances,PROTECTED,TRUE
Microsoft.Security/dataCollectionAgents,PROTECTED,TRUE
Microsoft.Security/dataCollectionResults,PROTECTED,TRUE
Microsoft.Security/discoveredSecuritySolutions,PROTECTED,TRUE
Microsoft.Security/externalSecuritySolutions,PROTECTED,TRUE
Microsoft.Security/InformationProtectionPolicies,PROTECTED,TRUE
Microsoft.Security/jitNetworkAccessPolicies,PROTECTED,TRUE
Microsoft.Security/locations,PROTECTED,TRUE
Microsoft.Security/locations/alerts,PROTECTED,TRUE
Microsoft.Security/locations/allowedConnections,PROTECTED,TRUE
Microsoft.Security/locations/applicationWhitelistings,PROTECTED,TRUE
Microsoft.Security/locations/discoveredSecuritySolutions,PROTECTED,TRUE
